nm	F0	F5	F9	F10
2362	52.2376	11.5076	3.91603	0.69591
2361	52.3212	11.6333	3.9613	0.71705
2360	52.7675	11.7003	3.994	0.7314
2359	53.2695	11.7673	4.03172	0.7518
2358	53.6042	11.7757	4.04933	0.7586
2357	53.9668	11.8092	4.04681	0.77219
2356	54.5524	11.8427	4.05184	0.78125
2355	54.9150	11.9013	4.02921	0.79938
2354	55.3334	11.9683	4.02418	0.81222
2353	55.7796	12.0604	4.03424	0.82506
2352	56.0585	12.0855	4.06694	0.83639
2351	56.3095	12.2195	4.0946	0.84621
2350	56.7000	12.3201	4.11221	0.85527
2349	57.0068	12.4206	4.13987	0.84772
2348	57.2299	12.5211	4.14742	0.84168
2347	57.6761	12.6886	4.15999	0.82582
2346	57.9271	12.7556	4.1776	0.79938
2345	58.2339	12.7974	4.17508	0.77823
2344	58.4570	12.8644	4.18766	0.75708
2343	58.8475	12.9566	4.23293	0.7518
2342	59.1543	13.0320	4.27317	0.76766
2341	59.4053	13.0571	4.31342	0.7956
2340	59.6842	13.0571	4.3612	0.83186
2339	60.1304	13.0655	4.38887	0.87718
2338	60.4093	13.0236	4.40647	0.91872
2337	60.7161	13.1241	4.43414	0.93609
2336	61.0508	13.1325	4.4266	0.9444
2335	61.2181	13.1911	4.4266	0.94364
2334	61.4970	13.2665	4.43414	0.93307
2333	61.9711	13.4507	4.4115	0.91872
2332	62.1664	13.5345	4.42157	0.89908
2331	62.4174	13.6099	4.41905	0.87566
2330	62.7520	13.7439	4.43666	0.84168
2329	63.1146	13.8695	4.43917	0.8092
2328	63.1983	13.9784	4.4266	0.77974
2327	63.5051	14.0872	4.42157	0.74349
2326	63.8119	14.1124	4.39138	0.72159
2325	63.9234	14.1626	4.37881	0.70195
2324	64.3976	14.2213	4.36372	0.71026
2323	64.5370	14.2631	4.37378	0.73971
2322	64.7880	14.3469	4.37629	0.78579
2321	65.0390	14.3636	4.39893	0.83412
2320	65.1227	14.4390	4.43414	0.88775
2319	65.2621	14.4139	4.48444	0.91569
2318	65.6247	14.4306	4.53223	0.93609
2317	65.6526	14.3888	4.57247	0.94893
2316	65.8478	14.4223	4.60014	0.95421
2315	65.9594	14.3301	4.60265	0.96177
2314	66.2383	14.3720	4.62026	0.97536
2313	66.3777	14.4474	4.58505	0.99727
2312	66.2662	14.4809	4.58505	1.01993
2311	66.4056	14.5311	4.57247	1.04334
2310	66.4335	14.5395	4.58002	1.06222
2309	66.6287	14.5395	4.56744	1.0811
2308	66.7961	14.6149	4.56241	1.08941
2307	66.6845	14.6316	4.59511	1.09243
2306	66.9355	14.6316	4.63032	1.09319
2305	67.0750	14.5981	4.70326	1.08564
2304	67.1029	14.5981	4.77871	1.08337
2303	67.2144	14.6149	4.83153	1.08412
2302	67.2702	14.6651	4.88938	1.09017
2301	67.3539	14.6400	4.92962	1.10754
2300	67.8001	14.6149	4.94723	1.12944
2299	67.8001	14.7154	4.94471	1.15588
2298	68.0511	14.7321	4.93465	1.17702
2297	68.1069	14.7740	4.93968	1.17929
2296	68.2463	14.8913	4.97489	1.1657
