nm	Orig	F5		
466.1	16.28163	5.90045		
466	16.61664	6.00357		
465.9	16.87627	6.02118		
465.8	17.11078	6.11927		
465.7	17.36204	6.19723		
465.6	17.5798	6.3255		
465.5	17.80593	6.41605		
465.4	17.94831	6.50408		
465.3	18.46758	6.58959		
465.2	18.73559	6.68768		
465.1	19.02873	6.79332		
465	19.25486	6.89392		
464.9	19.59825	6.98195		
464.8	19.93327	7.09262		
464.7	20.1929	7.21586		
464.6	20.44416	7.32149		
464.5	20.35203	7.42209		
464.4	20.96343	7.47743		
464.3	21.21469	7.573		
464.2	21.4492	7.69876		
464.1	21.74233	7.77421		
464	21.97684	7.83709		
463.9	22.34536	7.92009		
463.8	22.63849	8.01314		
463.7	22.81438	8.1062		
463.6	23.18289	8.17663		
463.5	23.42577	8.23447		
463.4	23.71891	8.28478		
463.3	23.9953	8.36023		
463.2	24.30518	8.44071		
463.1	24.63182	8.57905		
463	24.8077	8.69474		
462.9	25.07571	8.79032		
462.8	25.4861	8.8708		
462.7	25.73736	8.95631		
462.6	26.02212	9.10973		
462.5	26.29013	9.12231		
462.4	26.53302	9.19273		
462.3	26.89316	9.26819		
462.2	27.17792	9.37885		
462.1	27.44593	9.43921		
462	27.68044	9.5197		
461.9	27.9317	9.60018		
461.8	28.33371	9.67563		
461.7	28.66035	9.76869		
461.6	29.00374	9.88187		
461.5	29.27175	9.99757		
461.4	29.55651	10.11326		
461.3	29.80777	10.23399		
461.2	30.05903	10.32705		
461.1	30.31029	10.42514		
461	30.29354	10.52071		
460.9	30.58667	10.62132		
460.8	31.24832	10.74959		
460.7	31.60846	10.86528		
460.6	31.89322	10.96337		
460.5	32.37062	11.06649		
460.4	32.57163	11.14698		
460.3	33.04902	11.24506		
460.2	33.35891	11.31549		
460.1	33.67717	11.39849		
460	34.03731	11.484		
459.9	34.39745	11.59466		
459.8	34.74083	11.70281		
459.7	35.04235	11.81348		
459.6	35.28523	11.9166		
459.5	35.62862	12.0172		
459.4	35.99713	12.13038		
459.3	36.18139	12.23602		
459.2	36.49128	12.35423		
459.1	36.77604	12.39195		
459	36.93517	12.47747		
458.9	37.52144	12.52274		
458.8	37.99046	12.58562		
458.7	38.14959	12.64095		
458.6	38.43435	12.70634		
458.5	38.73586	12.75162		
458.4	38.93687	12.79689		
458.3	39.22163	12.86983		
458.2	39.39751	12.93522		
458.1	39.61527	13.02325		
458	40.00891	13.09116		
457.9	40.34392	13.15906		
457.8	40.70406	13.13894		
457.7	41.03908	13.17667		
457.6	41.34059	13.28733		
457.5	41.61697	13.30243		
457.4	41.80123	13.3477		
457.3	42.00224	13.36279		
457.2	42.21162	13.36027		
457.1	42.45451	13.34267		
457	42.52151	13.32506		
456.9	42.62201	13.32255		
456.8	42.73089	13.30243		
456.7	42.78952	13.2647		
456.6	42.64714	13.23703		
456.5	42.77277	13.2144		
456.4	42.8649	13.17164		
456.3	43.32554	13.15655		
456.2	43.39254	13.13391		
456.1	43.66893	13.12134		
456	43.87831	13.09367		
455.9	44.07094	13.0811		
455.8	44.24682	13.04337		
455.7	44.44783	12.99558		
455.6	44.67397	12.95031		
455.5	44.9001	12.87486		
455.4	45.05923	12.79689		
455.3	45.25186	12.74659		
455.2	45.31049	12.67113		
455.1	45.37749	12.59065		
455	45.46962	12.52526		
454.9	45.52825	12.46238		
454.8	45.58688	12.35674		
454.7	45.69575	12.27877		
454.6	45.93864	12.20081		
454.5	46.18152	12.12032		
454.4	46.41603	12.02475		
454.3	46.64217	11.92414		
454.2	46.85992	11.82857		
454.1	47.06931	11.76821		
454	47.4127	11.69778		
453.9	47.63045	11.60975		
453.8	47.84821	11.5167		
453.7	48.14972	11.45885		
453.6	48.27535	11.3834		
453.5	48.46799	11.29034		
453.4	48.69412	11.19728		
453.3	48.92025	11.07152		
453.2	49.12126	10.99104		
453.1	49.27202	10.89546		
453	49.56515	10.82756		
452.9	49.84154	10.76216		
452.8	50.08442	10.6842		
452.7	50.42781	10.61629		
452.6	50.7377	10.54838		
452.5	51.04759	10.49556		
452.4	51.3826	10.43268		
452.3	51.75949	10.35471		
452.2	52.18663	10.25411		
452.1	52.53839	10.14093		
452	52.8399	10.05793		
451.9	53.10791	9.95733		
451.8	53.44293	9.89696		
451.7	53.83657	9.86427		
451.6	54.27208	9.82906		
451.5	54.89186	9.7863		
451.4	55.56188	9.71085		
451.3	56.29054	9.66809		
451.2	56.97731	9.61779		
451.1	57.48821	9.59767		
451	58.0326	9.58258		
450.9	58.6105	9.59515		
450.8	59.19677	9.60521		
450.7	59.84167	9.62282		
450.6	60.38607	9.64294		
450.5	60.98909	9.64294		
450.4	61.63399	9.66809		
450.3	62.35427	9.67815		
450.2	63.00754	9.69827		
450.1	63.76132	9.72845		
450	64.50673	9.74857		
449.9	65.21025	9.79384		
449.8	65.86353	9.8366		
449.7	66.55868	9.8693		
449.6	67.26221	9.9196		
449.5	67.96573	9.97242		
449.4	68.60226	10.0529		
449.3	69.18853	10.14344		
449.2	69.76643	10.24908		
449.1	70.31082	10.34968		
449	70.88872	10.44777		
448.9	71.44987	10.49808		
448.8	72.14502	10.59365		
448.7	72.78992	10.69677		
448.6	73.33432	10.79235		
448.5	73.94571	10.88289		
448.4	74.44823	11.00864		
448.3	74.88375	11.11931		
448.2	75.21039	11.20985		
448.1	75.6124	11.28531		
448	75.97254	11.37836		
447.9	76.35781	11.46639		
447.8	76.62582	11.57957		
447.7	76.95245	11.68772		
447.6	77.21209	11.76821		
447.5	77.49685	11.83863		
447.4	77.62248	11.89145		
447.3	77.74811	11.93672		
447.2	77.77324	11.97948		
447.1	77.97424	12.02223		
447	78.04125	12.04738		
446.9	78.10825	12.05996		
446.8	78.30926	12.07756		
446.7	78.00775	12.08511		
446.6	77.69786	12.09769		
446.5	77.50523	12.11529		
446.4	77.50523	12.13038		
446.3	77.29584	12.07505		
446.2	77.06971	11.98702		
446.1	76.7347	11.88642		
446	76.38293	11.79336		
445.9	75.96417	11.70533		
445.8	75.45327	11.65754		
445.7	74.9675	11.59466		
445.6	74.49849	11.48903		
445.5	73.87034	11.34818		
445.4	73.33432	11.17213		
445.3	72.63079	10.99104		
445.2	71.92726	10.82001		
445.1	71.09811	10.62383		
445	70.36108	10.42262		
444.9	69.51517	10.23147		
444.8	68.71114	9.97242		
444.7	67.76473	9.71839		
444.6	66.75131	9.47694		
444.5	65.62902	9.20782		
444.4	64.4481	8.95883		
444.3	63.2253	8.6872		
444.2	61.91038	8.45329		
