nm	00	01	02	03	04	05
2.70	387.0	262.0	167.0	110.0	70.00	0.0
2.71	360.0	250.0	157.0	107.0	65.00	0.0
2.72	315.0	220.0	135.0	90.00	50.00	-5
2.73	257.0	180.0	107.0	65.00	32.00	-15
2.74	195.0	135.0	72.00	40.00	12.00	-30
2.75	125.0	87.00	37.00	12.00	-5.00	-40
2.76	60.00	37.00	0.000	-10.0	-25.0	-52
2.77	7.000	-2.00	-27.0	-35.0	-45.0	-62
2.78	-25.0	-32.0	-52.0	-52.0	-60.0	-70
2.79	-45.0	-52.0	-67.0	-62.0	-67.0	-80
2.80	-60.0	-65.0	-72.0	-70.0	-72.0	-82
2.81	-67.0	-70.0	-80.0	-75.0	-75.0	-82
2.82	-70.0	-72.0	-82.0	-75.0	-80.0	-82
2.83	-70.0	-75.0	-82.0	-80.0	-80.0	-85
2.84	-70.0	-80.0	-82.0	-80.0	-80.0	-85
2.85	-70.0	-75.0	-85.0	-80.0	-82.0	-85
2.86	-72.0	-75.0	-82.0	-80.0	-82.0	-85
2.87	-72.0	-80.0	-85.0	-80.0	-82.0	-85
2.88	-70.0	-75.0	-85.0	-75.0	-82.0	-85
2.89	-70.0	-80.0	-85.0	-75.0	-82.0	-87
2.90	-72.0	-75.0	-85.0	-80.0	-82.0	-85
2.91	-70.0	-75.0	-85.0	-80.0	-82.0	-85
2.92	-72.0	-75.0	-85.0	-80.0	-82.0	-85
2.93	-70.0	-75.0	-85.0	-80.0	-82.0	-87
2.94	-70.0	-75.0	-85.0	-80.0	-82.0	-82
2.95	-72.0	-75.0	-82.0	-80.0	-82.0	-85
2.96	-72.0	-75.0	-82.0	-75.0	-82.0	-85
2.97	-72.0	-80.0	-82.0	-80.0	-82.0	-85
2.98	-72.0	-80.0	-85.0	-80.0	-82.0	-85
2.99	-72.0	-75.0	-82.0	-80.0	-82.0	-85
3.00	-72.0	-80.0	-85.0	-80.0	-82.0	-85
3.01	-70.0	-80.0	-85.0	-80.0	-82.0	-85
