nm	ZC37	ZC90	ZC84	ZC78	ZC88
687	7.5227	3.28474	7.17765	5.94648	3.72702	
686	7.84966	3.43816	7.6718	6.26474	3.89452	
685	8.21184	3.58655	7.94818	6.52438	4.03691	
684	8.57905	3.76009	7.95656	6.82589	4.47242	
683	9.00159	3.91351	8.66008	7.11065	4.45567	
682	9.46185	4.09963	9.12073	7.46241	4.65668	
681	9.86175	4.33102	9.58137	7.81417	4.85769	
680	10.28429	4.56241	9.98338	8.19107	5.00844	
679	10.72695	4.83405	10.46078	8.5847	5.23458	
678	11.19225	5.13837	10.98005	8.96159	5.50259	
677	11.68269	5.45276	11.47419	9.53949	5.72035	
676	12.16559	5.97339	12.06046	10.04201	5.89623	
675	13.35776	15.146	13.08225	12.83937	6.65838	
674	22.98057	28.13152	23.67703	36.36565	14.09567	
673	28.30255	28.30255	52.11125	71.09811	28.44259	
672	28.30255	28.30255	62.68928	80.75485	28.63522	
671	27.72911	23.39557	42.77277	54.93373	17.73893	
670	21.17975	12.43974	25.60336	28.6101	10.82929	
669	17.36685	8.43065	18.89473	17.31179	8.5847	
668	16.66765	7.28628	17.37042	14.03704	8.11569	
667	16.92419	6.99956	17.47092	13.40051	8.14081	
666	17.45236	6.97441	18.07394	13.36701	8.40882	
665	17.97802	7.04231	18.66022	13.61827	8.64333	
664	18.4911	7.17561	19.25486	13.86953	8.88622	
663	19.01173	7.31898	19.84114	14.12079	9.17098	
662	19.54242	7.4397	20.61167	14.49768	9.43899	
661	20.07562	7.6057	21.40732	14.8662	9.7405	
660	20.64152	7.78427	22.1276	15.44409	10.02526	
659	21.25772	8.02069	22.92326	15.73723	10.28489	
658	21.87895	8.24705	23.66866	16.03037	10.4859	
657	22.4524	8.39796	24.43919	16.52451	10.77066	
656	23.05854	8.59665	25.23484	17.01028	11.24806	
655	23.51629	8.81044	26.22313	17.41229	11.37369	
654	24.00926	9.05692	26.80103	17.83106	11.62495	
653	24.46198	9.29334	27.56318	18.23308	11.96833	
652	24.92224	9.50209	28.35884	18.65184	12.15259	
651	25.40263	9.6706	29.188	18.98685	12.37873	
650	25.84026	9.87936	29.91665	19.414	12.69699	
649	26.18986	10.10069	30.6788	19.89976	12.94825	
648	26.54952	10.31447	31.39071	20.31015	13.15763	
647	26.89157	10.45532	32.11936	20.66192	13.36701	
646	27.1959	10.57856	32.81451	21.03043	13.41727	
645	27.43232	10.80995	33.48454	21.40732	13.66852	
644	27.74923	11.0011	34.16294	21.75909	13.81091	
643	27.98062	11.15704	34.76596	22.11085	14.03704	
642	28.12398	11.25764	35.41924	22.52124	14.21292	
641	28.20195	11.40603	35.96363	22.78925	14.3218	
640	28.25225	11.54688	36.4829	23.05726	14.43905	
639	28.26734	11.67012	36.9938	23.15776	14.55631	
638	28.2774	11.72545	37.43769	23.3504	14.57306	
637	28.26734	11.76066	37.86483	23.4509	14.64006	
636	28.20195	11.84114	38.21659	23.55978	14.64844	
635	28.02086	11.90151	38.63536	23.87804	14.71544	
634	27.79198	11.96438	38.98712	24.04555	14.83269	
633	27.6285	11.98702	39.20488	24.13768	14.80757	
