nm	f1	f2	f3	f4
656	25.2348	17.0102	11.2480	8.59665
655	26.2231	17.4122	11.3736	8.81044
654	26.8010	17.8310	11.6249	9.05692
653	27.5631	18.2330	11.9683	9.29334
652	28.3588	18.6518	12.1525	9.50209
651	29.1880	18.9868	12.3787	9.67060
650	29.9166	19.4140	12.6969	9.87936
649	30.6788	19.8997	12.9482	10.1006
648	31.3907	20.3101	13.1576	10.3144
647	32.1193	20.6619	13.3670	10.4553
646	32.8145	21.0304	13.4172	10.5785
645	33.4845	21.4073	13.6685	10.8099
644	34.1629	21.7590	13.8109	11.0011
643	34.7659	22.1108	14.0370	11.1570
642	35.4192	22.5212	14.2129	11.2576
641	35.9636	22.7892	14.3218	11.4060
640	36.4829	23.0572	14.4390	11.5468
639	36.9938	23.1577	14.5563	11.6701
638	37.4376	23.3504	14.5730	11.7254
637	37.8648	23.4509	14.6400	11.7606
636	38.2165	23.5597	14.6484	11.8411
635	38.6353	23.8780	14.7154	11.9015
634	38.9871	24.0455	14.8326	11.9643
633	39.2048	24.1376	14.8075	11.9870
632	39.3975	24.2381	14.7740	12.0398
631	39.5817	24.2800	14.6484	12.0851
630	39.6990	24.3973	14.5814	12.1605
629	39.8749	24.3135	14.5646	12.1630
628	40.1177	24.3303	14.5646	12.1429
627	40.2518	24.3554	14.5311	12.2234
626	40.3523	24.4056	14.4641	12.1731
625	40.5533	24.3973	14.4641	12.1530
624	40.7208	24.4224	14.5563	12.1329
623	40.8380	24.3638	14.5311	12.1706
622	41.0558	24.3805	14.4976	12.1806
621	41.1312	24.5313	14.5144	12.1932
620	41.3740	24.7155	14.5311	12.1982
619	41.5834	24.7658	14.5395	12.2561
618	41.9184	24.8747	14.5479	12.3064
617	42.5382	24.9919	14.5814	12.3366
616	42.6973	25.2013	14.7573	12.4774
615	43.1245	25.5112	14.9499	12.5705
614	43.4930	25.6033	15.1258	12.5906
613	43.9704	25.9132	15.2095	12.6560
612	44.5734	26.2566	15.2598	12.7365
611	45.1513	26.5330	15.6534	12.8798
610	45.6622	26.9517	15.8544	13.0785
609	46.5081	27.4710	16.0554	13.3150
608	47.8900	28.0992	16.6082	13.6394
607	49.7075	29.0456	17.2364	14.0619
606	51.5752	30.2265	17.7724	14.4870
605	53.2251	31.1645	18.2833	14.8618
604	54.7243	31.9602	18.7439	15.1988
603	56.0727	32.7726	19.2297	15.4578
602	57.3960	33.3924	19.6987	15.7320
601	58.5937	33.7358	19.9918	15.9986
600	59.7746	34.7073	20.2934	16.2224
599	60.9388	35.3689	20.5279	16.3482
598	62.0276	35.9468	20.9383	16.5343
597	63.0159	36.5164	21.2146	16.7707
596	64.0628	37.1110	21.4994	16.9895
595	65.1516	37.6973	21.7758	17.1782
594	66.2906	38.0574	22.0438	17.2989
593	66.9271	38.6772	22.3286	17.4900
592	67.7144	39.2132	22.5631	17.6560
591	68.5771	39.6655	22.9148	17.8346
